Date Created,Entity Type,Action Type,Entity,Target,Age (days),Uptime (%),Namespace,Region/Data Center,from,to,Resource,Risk Type,Risk Description,Est Savings(+)/Investments(-) ($/mo),ACTION STATE,Linked VM,Volume ID,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4
27/09/2022 15:31,VirtualMachine,Move,C1SB0014WEB01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih90.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1ST0056ATN,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih84.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1ST0059AD2,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih80.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1LL0028NNO,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih95.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NM0097WSGCE05,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih72.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NP0382LPSAD03,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih92.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NP0075WPISS01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih91.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NM0336WMISS03,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih77.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1DP8030P0TRI1W,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih93.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:21,VirtualMachine,Move,C1TE0167DOM,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih42.ukcloud-atos.net,catped4pr1vih44.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q1 VCPU Congestion,,READY,,,,,,
27/09/2022 15:21,VirtualMachine,Move,C1NP0476ADC01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih90.ukcloud-atos.net,catped4pr1vih90.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:21,VirtualMachine,Move,C1NP0475ADC02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih94.ukcloud-atos.net,catped3pr1vih84.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1ND0139WDISS01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih50.ukcloud-atos.net,catped3pr1vih47.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Mem Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0358LMANS02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih45.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0086LSJBS02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih46.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU &  Mem Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0094LSJBS01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih40.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU &  Mem Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0089LSADM02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih45.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1ND0205LDANS02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih45.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1ND0180LDTFC02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih50.ukcloud-atos.net,catped3pr1vih40.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Mem Congestion,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NP0092WSWFO05,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih89.ukcloud-atos.net,catped4pr1vih95.ukcloud-atos.net,PhysicalMachine,Compliance,C1NP0092WSWFO05 doesn't comply with GROUP-DRS-DR_Protected_VMs_LBG-rule/GDC0-S-ATO-Z01-ComputeDRProtect01/catvad0pr1vic01.ukcloud-atos.net,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NP0081WSWFO02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih91.ukcloud-atos.net,catped4pr1vih93.ukcloud-atos.net,PhysicalMachine,Compliance,C1NP0081WSWFO02 doesn't comply with GROUP-DRS-DR_Protected_VMs_LBG-rule/GDC0-S-ATO-Z01-ComputeDRProtect01/catvad0pr1vic01.ukcloud-atos.net,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NP0067APMDM01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih86.ukcloud-atos.net,catped4pr1vih93.ukcloud-atos.net,PhysicalMachine,Compliance,C1NP0067APMDM01 doesn't comply with GROUP-DRS-DR_Protected_VMs_LBG-rule/GDC0-S-ATO-Z01-ComputeDRProtect01/catvad0pr1vic01.ukcloud-atos.net,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NP0066APMDM01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih89.ukcloud-atos.net,catped4pr1vih91.ukcloud-atos.net,PhysicalMachine,Compliance,C1NP0066APMDM01 doesn't comply with GROUP-DRS-DR_Protected_VMs_LBG-rule/GDC0-S-ATO-Z01-ComputeDRProtect01/catvad0pr1vic01.ukcloud-atos.net,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0154LSEPM01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih85.ukcloud-atos.net,catped4pr1vih91.ukcloud-atos.net,PhysicalMachine,Compliance,C1NM0154LSEPM01 doesn't comply with GROUP-DRS-DR_Protected_VMs_LBG-rule/GDC0-S-ATO-Z01-ComputeDRProtect01/catvad0pr1vic01.ukcloud-atos.net,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NP0159WSORD02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih90.ukcloud-atos.net,catped4pr1vih90.ukcloud-atos.net,PhysicalMachine,Compliance,C1NP0159WSORD02 doesn't comply with GROUP-DRS-DR_Protected_VMs_LBG-rule/GDC0-S-ATO-Z01-ComputeDRProtect01/catvad0pr1vic01.ukcloud-atos.net,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NP0144WLAMX01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih92.ukcloud-atos.net,catped4pr1vih90.ukcloud-atos.net,PhysicalMachine,Compliance,C1NP0144WLAMX01 doesn't comply with GROUP-DRS-Windows-rule/GDC0-S-ATO-Z01-ComputeDRProtect01/catvad0pr1vic01.ukcloud-atos.net,,READY,,,,,,
27/09/2022 14:51,VirtualMachine,Move,C1TE0192PTS01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih39.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU Congestion,,READY,,,,,,
27/09/2022 14:51,VirtualMachine,Resize,C1UK0012RDS02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,5,6,VCPU,Performance Assurance,VCPU Congestion in Virtual Machine C1UK0012RDS02,,READY,,,,,,
27/09/2022 14:31,VirtualMachine,Move,C1NP0156WSSQL07,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih82.ukcloud-atos.net,catped4pr1vih93.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 14:21,VirtualMachine,Move,GBNTHDA3221SRV.NS901.NET,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih40.ukcloud-atos.net,catped4pr1vih39.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q1 VCPU Congestion,,READY,,,,,,
27/09/2022 13:51,VirtualMachine,Move,C1ND0204LDELK02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih43.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU Congestion,,READY,,,,,,
27/09/2022 13:51,VirtualMachine,Move,C1ND0177LDTFO02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih49.ukcloud-atos.net,catped3pr1vih40.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Mem Congestion,,READY,,,,,,
27/09/2022 13:41,VirtualMachine,Move,C1ND0109WDAPP06,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih40.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q2 VCPU Congestion,,READY,,,,,,
27/09/2022 13:31,VirtualMachine,Move,C1US0025AUT01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih77.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Q4 VCPU Congestion,,READY,,,,,,
27/09/2022 13:21,VirtualMachine,Move,C1ND0159LDCDB01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih49.ukcloud-atos.net,catped3pr1vih40.ukcloud-atos.net,PhysicalMachine,Performance Assurance,Mem Congestion,,READY,,,,,,
27/09/2022 12:11,VirtualMachine,Resize,C1DP8081P0COG1W,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,67108864,70254592,VMem,Performance Assurance,VMem Congestion in Virtual Machine C1DP8081P0COG1W,,READY,,,,,,
