Date Created,Entity Type,Action Type,Entity,Target,Age (days),Uptime (%),Namespace,Region/Data Center,from,to,Resource,Risk Type,Est Savings(+)/Investments(-) ($/mo),ACTION STATE,Linked VM,Volume ID,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4
27/09/2022 15:31,VirtualMachine,Move,C1SB0014WEB01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih90.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1ST0056ATN,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih84.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1ST0059AD2,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih80.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1LL0028NNO,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih95.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NM0097WSGCE05,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih72.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NP0382LPSAD03,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih92.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NP0075WPISS01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih91.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1NM0336WMISS03,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih77.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:31,VirtualMachine,Move,C1DP8030P0TRI1W,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih75.ukcloud-atos.net,catped4pr1vih93.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:21,VirtualMachine,Move,C1TE0167DOM,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped4pr1vih42.ukcloud-atos.net,catped4pr1vih44.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:21,VirtualMachine,Move,C1NP0476ADC01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih90.ukcloud-atos.net,catped4pr1vih90.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:21,VirtualMachine,Move,C1NP0475ADC02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih94.ukcloud-atos.net,catped3pr1vih84.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1ND0139WDISS01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih50.ukcloud-atos.net,catped3pr1vih47.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0358LMANS02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih45.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0086LSJBS02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih46.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0094LSJBS01,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih40.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1NM0089LSADM02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih45.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
27/09/2022 15:11,VirtualMachine,Move,C1ND0205LDANS02,catvad0pr1vic01.ukcloud-atos.net,-,-,,VSDC01,catped3pr1vih47.ukcloud-atos.net,catped3pr1vih45.ukcloud-atos.net,PhysicalMachine,Performance Assurance,,READY,,,,,,
